Test,Status,Cycles
ge_u_12,pass,23
ge_u_13,pass,23
ge_u_14,pass,23
ge_u_2,pass,23
ge_u_3,pass,23
ge_u_4,pass,23
ge_u_5,pass,23
ge_u_6,pass,23
ge_u_7,pass,23
ge_u_8,pass,23
ge_u_9,pass,23
gt_s_1,pass,39
gt_s_10,pass,39
gt_s_11,pass,39
gt_s_12,pass,39
gt_s_13,pass,39
gt_s_14,pass,39
gt_s_2,pass,39
gt_s_3,pass,39
gt_s_4,pass,39
gt_s_5,pass,39
gt_s_6,pass,39
gt_s_7,pass,39
gt_s_8,pass,39
gt_s_9,pass,39
gt_u_1,pass,25
gt_u_10,pass,25
gt_u_11,pass,25
gt_u_12,pass,25
gt_u_13,pass,25
gt_u_14,pass,25
gt_u_2,pass,25
gt_u_3,pass,25
gt_u_4,pass,25
gt_u_5,pass,25
gt_u_6,pass,25
gt_u_7,pass,25
gt_u_8,pass,25
gt_u_9,pass,25
le_s_1,pass,40
le_s_10,pass,40
le_s_11,pass,40
le_s_12,pass,40
le_s_13,pass,40
le_s_14,pass,40
le_s_2,pass,40
le_s_3,pass,40
le_s_4,pass,40
le_s_5,pass,40
le_s_6,pass,40
le_s_7,pass,40
le_s_8,pass,40
le_s_9,pass,40
le_u_1,pass,26
le_u_10,pass,26
le_u_11,pass,26
le_u_12,pass,26
le_u_13,pass,26
le_u_14,pass,26
le_u_2,pass,26
le_u_3,pass,26
le_u_4,pass,26
le_u_5,pass,26
le_u_6,pass,26
le_u_7,pass,26
le_u_8,pass,26
le_u_9,pass,26
lt_s_1,pass,36
lt_s_10,pass,36
lt_s_11,pass,36
lt_s_12,pass,36
lt_s_13,pass,36
lt_s_14,pass,36
lt_s_2,pass,36
lt_s_3,pass,36
lt_s_4,pass,36
lt_s_5,pass,36
lt_s_6,pass,36
lt_s_7,pass,36
lt_s_8,pass,36
lt_s_9,pass,36
lt_u_1,pass,22
lt_u_10,pass,22
lt_u_11,pass,22
lt_u_12,pass,22
lt_u_13,pass,22
lt_u_14,pass,22
lt_u_2,pass,22
lt_u_3,pass,22
lt_u_4,pass,22
lt_u_5,pass,22
lt_u_6,pass,22
lt_u_7,pass,22
lt_u_8,pass,22
lt_u_9,pass,22
mul_1,pass,26
mul_2,pass,26
mul_3,pass,26
mul_4,pass,26
mul_5,pass,26
mul_6,pass,26
mul_7,pass,26
mul_8,pass,26
mul_9,pass,26
ne_1,pass,23
ne_10,pass,23
ne_11,pass,23
ne_12,pass,23
ne_13,pass,23
ne_14,pass,23
ne_2,pass,23
ne_3,pass,23
ne_4,pass,23
ne_5,pass,23
ne_6,pass,23
ne_7,pass,23
ne_8,pass,23
ne_9,pass,23
or_1,pass,18
or_2,pass,18
or_3,pass,18
or_4,pass,18
or_5,pass,18
or_6,pass,18
or_7,pass,18
or_8,pass,18
popcnt_1,compilation failed,
popcnt_2,compilation failed,
popcnt_3,compilation failed,
popcnt_4,compilation failed,
popcnt_5,compilation failed,
popcnt_6,compilation failed,
popcnt_7,compilation failed,
popcnt_8,compilation failed,
rem_s_1,runtime error,
rem_s_10,runtime error,
rem_s_11,runtime error,
rem_s_12,runtime error,
rem_s_13,pass,28
rem_s_14,runtime error,
rem_s_15,runtime error,
rem_s_16,runtime error,
rem_s_17,pass,28
rem_s_18,pass,28
rem_s_2,pass,28
rem_s_3,pass,28
rem_s_4,pass,28
rem_s_5,pass,28
rem_s_6,runtime error,
rem_s_7,pass,28
rem_s_8,runtime error,
rem_s_9,pass,28
rem_u_1,pass,28
rem_u_10,pass,28
rem_u_11,pass,28
rem_u_12,pass,28
rem_u_13,pass,28
rem_u_14,pass,28
rem_u_2,pass,28
rem_u_3,pass,28
rem_u_4,pass,28
rem_u_5,pass,28
rem_u_6,pass,28
rem_u_7,pass,28
rem_u_8,pass,28
rem_u_9,pass,28
rotl_1,pass,54
rotl_10,pass,54
rotl_11,pass,54
rotl_12,pass,54
rotl_13,pass,54
rotl_2,pass,54
rotl_3,pass,54
rotl_4,pass,54
rotl_5,pass,54
rotl_6,pass,54
rotl_7,pass,54
rotl_8,pass,54
rotl_9,pass,54
rotr_1,compilation failed,
rotr_10,compilation failed,
rotr_11,compilation failed,
rotr_12,compilation failed,
rotr_13,compilation failed,
rotr_2,compilation failed,
rotr_3,compilation failed,
rotr_4,compilation failed,
rotr_5,compilation failed,
rotr_6,compilation failed,
rotr_7,compilation failed,
rotr_8,compilation failed,
rotr_9,compilation failed,
shl_1,pass,36
shl_10,pass,36
shl_11,pass,36
shl_2,pass,36
shl_3,pass,36
shl_4,pass,36
shl_5,pass,36
shl_6,pass,36
shl_7,pass,36
shl_8,pass,36
shl_9,pass,36
shr_s_1,runtime error,
shr_s_10,runtime error,
shr_s_11,runtime error,
shr_s_12,runtime error,
shr_s_13,runtime error,
shr_s_14,runtime error,
shr_s_15,runtime error,
shr_s_16,runtime error,
shr_s_17,runtime error,
shr_s_2,runtime error,
shr_s_3,runtime error,
shr_s_4,runtime error,
shr_s_5,runtime error,
shr_s_6,runtime error,
shr_s_7,runtime error,
shr_s_8,runtime error,
shr_s_9,runtime error,
shr_u_1,pass,37
shr_u_10,pass,37
shr_u_11,pass,37
shr_u_12,pass,37
shr_u_13,pass,37
shr_u_14,pass,37
shr_u_15,pass,37
shr_u_16,pass,37
shr_u_17,pass,37
shr_u_2,pass,37
shr_u_3,pass,37
shr_u_4,pass,37
shr_u_5,pass,37
shr_u_6,pass,37
shr_u_7,pass,37
shr_u_8,pass,37
shr_u_9,pass,37
sub_1,pass,20
sub_2,pass,20
sub_3,pass,20
sub_4,pass,20
sub_5,pass,20
sub_6,pass,20
sub_7,pass,20
xor_1,pass,18
xor_10,pass,18
xor_2,pass,18
xor_3,pass,18
xor_4,pass,18
xor_5,pass,18
xor_6,pass,18
xor_7,pass,18
xor_8,pass,18
xor_9,pass,18
